PERMNO,date,COMNAM,RET
10087,6/2/1987,BEAUTICONTROL COSMETICS INC,0.09375
10087,9/2/1987,BEAUTICONTROL COSMETICS INC,0
10087,10/2/1987,BEAUTICONTROL COSMETICS INC,-0.028571
10087,11/2/1987,BEAUTICONTROL COSMETICS INC,0
10087,12/2/1987,BEAUTICONTROL COSMETICS INC,-0.014706
10087,13-02-1987,BEAUTICONTROL COSMETICS INC,0
10087,17-02-1987,BEAUTICONTROL COSMETICS INC,0
10087,18-02-1987,BEAUTICONTROL COSMETICS INC,0
10087,19-02-1987,BEAUTICONTROL COSMETICS INC,-0.014925
10087,20-02-1987,BEAUTICONTROL COSMETICS INC,0
10087,23-02-1987,BEAUTICONTROL COSMETICS INC,-0.030303
10087,24-02-1987,BEAUTICONTROL COSMETICS INC,-0.03125
10087,25-02-1987,BEAUTICONTROL COSMETICS INC,-0.032258
10087,26-02-1987,BEAUTICONTROL COSMETICS INC,0.033333
10087,27-02-1987,BEAUTICONTROL COSMETICS INC,-0.064516
10087,2/3/1987,BEAUTICONTROL COSMETICS INC,0.034483
10087,3/3/1987,BEAUTICONTROL COSMETICS INC,0.066667
10087,4/3/1987,BEAUTICONTROL COSMETICS INC,-0.0625
10087,5/3/1987,BEAUTICONTROL COSMETICS INC,0.033333
10087,6/3/1987,BEAUTICONTROL COSMETICS INC,-0.032258
10087,9/3/1987,BEAUTICONTROL COSMETICS INC,-0.033333
10087,10/3/1987,BEAUTICONTROL COSMETICS INC,0
10087,11/3/1987,BEAUTICONTROL COSMETICS INC,0
10087,12/3/1987,BEAUTICONTROL COSMETICS INC,-0.137931
10087,13-03-1987,BEAUTICONTROL COSMETICS INC,0
10087,16-03-1987,BEAUTICONTROL COSMETICS INC,0.08
10087,17-03-1987,BEAUTICONTROL COSMETICS INC,-0.055556
10087,18-03-1987,BEAUTICONTROL COSMETICS INC,0.098039
10087,19-03-1987,BEAUTICONTROL COSMETICS INC,0.142857
10087,20-03-1987,BEAUTICONTROL COSMETICS INC,-0.03125
10087,23-03-1987,BEAUTICONTROL COSMETICS INC,-0.064516
10087,24-03-1987,BEAUTICONTROL COSMETICS INC,-0.017241
10087,25-03-1987,BEAUTICONTROL COSMETICS INC,0.017544
10087,26-03-1987,BEAUTICONTROL COSMETICS INC,0.034483
10087,27-03-1987,BEAUTICONTROL COSMETICS INC,0
10087,30-03-1987,BEAUTICONTROL COSMETICS INC,0
10087,31-03-1987,BEAUTICONTROL COSMETICS INC,0
10087,1/4/1987,BEAUTICONTROL COSMETICS INC,-0.033333
10087,2/4/1987,BEAUTICONTROL COSMETICS INC,-0.034483
10087,3/4/1987,BEAUTICONTROL COSMETICS INC,0.25
10087,6/4/1987,BEAUTICONTROL COSMETICS INC,0.128571
10087,7/4/1987,BEAUTICONTROL COSMETICS INC,-0.037975
10087,8/4/1987,BEAUTICONTROL COSMETICS INC,0.039474
10087,9/4/1987,BEAUTICONTROL COSMETICS INC,-0.050633
10087,10/4/1987,BEAUTICONTROL COSMETICS INC,-0.013333
10087,13-04-1987,BEAUTICONTROL COSMETICS INC,-0.054054
10087,14-04-1987,BEAUTICONTROL COSMETICS INC,0
10087,15-04-1987,BEAUTICONTROL COSMETICS INC,0
10087,16-04-1987,BEAUTICONTROL COSMETICS INC,0.014286
10087,20-04-1987,BEAUTICONTROL COSMETICS INC,0.042254
10087,21-04-1987,BEAUTICONTROL COSMETICS INC,-0.013514
10087,22-04-1987,BEAUTICONTROL COSMETICS INC,0.013699
10087,23-04-1987,BEAUTICONTROL COSMETICS INC,0
10087,24-04-1987,BEAUTICONTROL COSMETICS INC,-0.054054
10087,27-04-1987,BEAUTICONTROL COSMETICS INC,-0.014286
10087,28-04-1987,BEAUTICONTROL COSMETICS INC,-0.014493
10087,29-04-1987,BEAUTICONTROL COSMETICS INC,0
10087,30-04-1987,BEAUTICONTROL COSMETICS INC,0
10087,1/5/1987,BEAUTICONTROL COSMETICS INC,0
10087,4/5/1987,BEAUTICONTROL COSMETICS INC,0
10087,5/5/1987,BEAUTICONTROL COSMETICS INC,0.044118
10087,6/5/1987,BEAUTICONTROL COSMETICS INC,0.028169
