permno,Date_Announced
92257.0,2003-12-15
92376.0,2009-07-28
92442.0,2014-06-02
92442.0,2010-09-20
92687.0,2008-02-07
92765.0,2016-08-26
93015.0,2013-02-14
93323.0,2013-02-06
12026.0,2016-06-02
12515.0,2000-01-21
12576.0,2013-01-07
12682.0,2013-08-26
13294.0,2013-06-04
13535.0,2012-11-08
13791.0,2014-01-21
13875.0,2014-02-19
14062.0,2014-09-29
14603.0,2012-06-04
14723.0,2016-07-13
15315.0,2011-06-29
10195.0,2006-09-17
65234.0,2008-05-12
79900.0,1997-06-16
79900.0,2006-12-18
41428.0,1997-06-17
75493.0,1997-10-21
46747.0,1999-08-09
76670.0,2006-04-20
76234.0,2013-09-09
12249.0,1998-11-23
72514.0,1995-05-31
75524.0,2006-02-21
75524.0,2011-10-31
80778.0,1994-02-18
11510.0,2012-05-22
78031.0,2007-10-30
78220.0,1998-07-14
76787.0,2012-01-02
90721.0,2005-05-10
86281.0,2005-12-20
86281.0,1995-10-26
82661.0,1997-09-16
75519.0,1998-08-31
76552.0,1986-05-28
76552.0,1995-10-31
78848.0,2003-05-29
88354.0,1999-07-30
81229.0,1997-11-19
85450.0,2010-03-08
77554.0,2006-01-22
82838.0,1997-04-08
80950.0,1997-09-29
90909.0,2014-06-30
81628.0,1996-08-26
81628.0,1995-03-31
83510.0,1997-03-10
81135.0,1999-06-01
81135.0,1994-12-14
91262.0,2004-04-22
89354.0,2007-09-17
89930.0,2002-12-16
89930.0,2011-10-05
89289.0,1988-12-30
12877.0,2009-06-12
90638.0,2004-12-08
90638.0,1997-02-13
90638.0,2010-03-05
85675.0,1997-03-11
88358.0,2012-11-05
88358.0,2000-05-17
90733.0,2013-07-12
90733.0,2003-04-14
90733.0,1998-07-01
77881.0,2006-12-05
65154.0,1999-04-19
75369.0,2002-04-01
77719.0,2001-08-14
87283.0,2013-09-09
87283.0,2005-05-02
87283.0,1986-12-08
65015.0,2002-09-12
77799.0,1998-08-14
77799.0,1994-07-20
75375.0,1987-03-18
75375.0,1986-01-28
75428.0,2013-07-05
75428.0,1997-10-17
78850.0,2002-03-08
81029.0,2010-06-21
91663.0,2000-01-18
91663.0,1995-10-13
91663.0,1989-06-22
85344.0,2001-12-14
86380.0,1997-11-17
15045.0,2010-05-16
15045.0,2007-04-02
15045.0,2005-04-07
90452.0,2009-09-28
90452.0,2003-10-07
90452.0,1999-01-26
90071.0,2003-03-26
88911.0,2006-08-07
88911.0,2000-05-31
88911.0,1995-10-25
92791.0,2011-04-28
92791.0,2008-07-17
92791.0,2005-08-26
91639.0,2006-11-06
91639.0,2005-06-19
14597.0,2014-02-19
87281.0,2013-09-09
87281.0,2005-05-02
87281.0,1986-12-08
