,numbers,dollars
1186,13.0,11.0
1187,2.0,0.0
1188,8.0,5.0
1189,0.0,0.0
1190,1.0,0.0
1191,1.0,0.0
1192,14.0,4.0
1193,0.0,0.0
1194,0.0,0.0
1195,3.0,1.0
1196,,
1197,2.0,1.0
1198,35.0,0.0
1199,7.0,0.0
1200,5.0,2.0
1201,4.0,1.0
1202,11.0,5.0
1203,0.0,0.0
1204,0.0,0.0
1205,8.0,1.0
1206,0.0,0.0
1207,4.0,1.0
1208,0.0,0.0
1209,1.0,0.0
1210,0.0,0.0
1211,23.0,20.0
1212,1.0,0.0
1213,14.0,0.0
1214,4.0,0.0
1215,16.0,6.0
1216,1.0,0.0
1217,4.0,0.0
1218,19.0,14.0
1219,28.0,1.0
1220,6.0,1.0
1221,2.0,0.0
1222,24.0,0.0
1223,2.0,1.0
1224,4.0,0.0
1225,26.0,7.0
1226,2.0,1.0
1227,16.0,11.0
1228,0.0,0.0
1229,15.0,1.0
1230,0.0,0.0
1231,1.0,0.0
1232,,
1233,21.0,12.0
1234,0.0,0.0
1235,0.0,0.0
1236,26.0,7.0
1237,1.0,0.0
1238,1.0,0.0
1239,0.0,0.0
1240,,
1241,38.0,2.0
1242,0.0,0.0
1243,21.0,6.0
1244,14.0,4.0
1245,22.0,2.0
1246,6.0,2.0
1247,36.0,11.0
1248,10.0,4.0
1249,0.0,0.0
1250,2.0,1.0
1251,,
1252,33.0,18.0
1253,29.0,1.0
1254,19.0,7.0
1255,13.0,2.0
1256,15.0,0.0
1257,3.0,1.0
1258,2.0,0.0
1259,43.0,3.0
1260,1.0,0.0
1261,5.0,0.0
1262,26.0,2.0
1263,10.0,3.0
1264,5.0,0.0
1265,5.0,0.0
1266,41.0,18.0
1267,15.0,6.0
1268,4.0,2.0
1269,1.0,0.0
1270,0.0,0.0
1271,2.0,0.0
1272,37.0,26.0
1273,83.0,3.0
1274,0.0,0.0
1275,7.0,5.0
1276,54.0,17.0
1277,26.0,0.0
1278,19.0,16.0
1279,21.0,8.0
1280,15.0,13.0
1281,1.0,0.0
1282,2.0,0.0
1283,2.0,1.0
1284,0.0,0.0
1285,0.0,0.0
1286,0.0,0.0
1287,4.0,1.0
1288,0.0,0.0
1289,9.0,2.0
1290,1.0,1.0
1291,1.0,1.0
1292,,
1293,0.0,0.0
1294,13.0,5.0
1295,14.0,3.0
1296,13.0,5.0
1297,12.0,6.0
1298,8.0,0.0
1299,0.0,0.0
1300,25.0,13.0
