"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"Ceradyne","Manufacturing","Sustainability report","Sustainability Reporting","California State Teachers' Retirement System","Withdrawn; Company will address",2012,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Greenhouse gas emissions reduction goals","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Sisters of St. Dominic (Caldwell, NJ)","Vote: 27.1%",2012,"PDF"
"DSW, Inc.","Retail","Sustainability report including supply chain","Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Vendor standards","Calvert Research & Management","Withdrawn; Company will address",2012,"NOT"
"Chevron Corporation","Oil and Gas","Accident risk mitigation","Water Pollution; 
                    
                    
                        Worker Safety","AFL-CIO","Vote: 8.7%",2012,"NOT"
"Crocs","Apparel, Footwear","Sustainability report including supply chain","Supply Chain; 
                    
                    
                        Sustainability Reporting","Calvert Research & Management","Withdrawn; Company will address",2012,"NOT"
"Patriot Coal Corporation","Mining & Resources","Sustainability report","Coal; 
                    
                    
                        Sustainability Reporting","California State Teachers' Retirement System","Withdrawn; Company will address",2012,"NOT"
"Range Resources Corporation","Oil and Gas","Executive compensation linked to ESG","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Amalgamated Bank","Vote: 4.8%",2012,"NOT"
"Ameren Corporation","Electric Power","Coal ash risk mitigation","Coal; 
                    
                    
                        Coal Ash; 
                    
                    
                        Water Pollution","Midwest Coalition for Responsible Investment","Vote: 10.8%",2012,"PDF"
"Colgate-Palmolive Co.","Consumer Goods","Palm oil sourcing","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Calvert Research & Management","Withdrawn; Company will address",2012,"NOT"
"Gentex Corporation","Manufacturing","Sustainability report including greenhouse gas strategies","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 32.5%",2012,"NOT"
"CR Bard Inc.","Healthcare, Pharmaceuticals","Sustainability report including greenhouse gas reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 30.5%",2012,"NOT"
"Kraft Foods Inc.","Food and Beverage","Sustainable forestry report","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Biodiversity","Domini Impact Investments LLC","Vote: 8.3%",2012,"NOT"
"Qualcomm Incorporated","Communications","Water risk in supply chain","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Walden Asset Management","Withdrawn; Company will address",2012,"NOT"
"Dominion Resources, Inc.","Electric Power","Community impacts of plant retirements","Community Impacts","Robert Vanderhye","Vote: 16%",2012,"PDF"
"FMC Corp.","Chemicals","Sustainability report","Sustainability Reporting","David Brook","Withdrawn; Company will address",2012,"NOT"
"FirstEnergy Corp.","Electric Power","Coal ash risk mitigation","Coal Ash; 
                    
                    
                        Community Impacts; 
                    
                    
                        Water Pollution","Green Century Capital Management","Vote: 29.6%",2012,"PDF"
"Emerson Electric Co.","Manufacturing","Sustainability report including greenhouse gas reduction goals","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 35.3%",2012,"NOT"
"Anadarko Petroleum Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","Trillium Asset Management","Withdrawn; Company will address",2012,"NOT"
"Nike Inc.","Apparel, Footwear","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2013,"NOT"
"ConocoPhillips","Oil and Gas","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Presbyterian Church (USA)","Vote: 29.4%",2013,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","Independent board member with environmental expertise","Governance","New York State Comptroller","Vote: 4.6%",2012,"NOT"
"Intel Corporation","Electronics","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Dish Network Corporation","Communications","Energy efficiency in cable set-top boxes","Energy Efficiency (products)","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Apple","Consumer Goods","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Cleco Corporation","Electric Power","Sustainability report including water","Sustainability Reporting; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Calvert Research & Management","Vote: 34%",2012,"PDF"
"Motorola Solutions, Inc.","Communications","Suppliers to issue sustainability reports","Human Rights; 
                    
                    
                        Supply Chain; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Worker Safety","New York City Office of the Comptroller","Vote: 6.9%",2012,"PDF"
"Equity Residential","Real Estate","Sustainability report including energy efficiency","Energy Efficiency (buildings); 
                    
                    
                        Sustainability Reporting","New York City Office of the Comptroller","Vote: 45.1%",2012,"PDF"
"Dominion Resources, Inc.","Electric Power","Renewables benefits report","Climate Change; 
                    
                    
                        Renewables","Pam Morgan","Vote: 5.8%",2012,"PDF"
"Chevron Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing","Sisters of St. Francis of Philadelphia","Vote: 30.2%",2013,"NOT"
"GenOn Energy Inc","Electric Power","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York City Office of the Comptroller","Vote: 24.5%",2012,"NOT"
"Dominion Resources, Inc.","Electric Power","Demand-side renewables installation","Climate Change; 
                    
                    
                        Renewables","Pamela Morgan","Vote: 6.4%",2012,"PDF"
"Hanesbrands Inc.","Apparel","Report on supply chain standards including water","Supply Chain; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Calvert Research & Management","Withdrawn; Company will address",2012,"NOT"
"CF Industries Holdings, Inc.","Agriculture","Sustainability report including energy efficiency","Energy Efficiency (industrial); 
                    
                    
                        Sustainability Reporting","Presbyterian Church (USA)","Vote: 67%",2013,"NOT"
"Verizon Communications Inc.","Communications","Energy efficiency in cable set-top boxes","Energy Efficiency (products)","New York City Office of the Comptroller","Withdrawn; Company will address",2012,"NOT"
"Dynegy Inc.","Electric Power","Greenhouse gas and air emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York City Office of the Comptroller","No Vote For Technical Reasons",2012,"NOT"
"Centerra Gold Inc.","Mining & Resources","Sustainability report","Sustainability Reporting","New York State Comptroller","Withdrawn; Company will address",2012,"NOT"
"Range Resources Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","New York State Comptroller","Withdrawn; Company will address",2012,"NOT"
"CMS Energy Corp.","Utilities","Greenhouse gas and air emissions reduction goals","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York State Comptroller","Withdrawn; Company will address",2012,"NOT"
